Team,Win,Draw,Lose,Goals_Scored,Goals_Conceded,Goals_Scored_per_Match,Goals_Conceded_per_Match,Win_Rate_Percentage,Current_Win_Streak,Longest_Win_Streak,Current_Unbeaten_Streak,Longest_Unbeaten_Streak
Qatar,35,10,18,107,69,1.6984,1.0952,55.5556,0,7,1,11
Ecuador,18,16,15,64,56,1.3061,1.1429,36.7347,0,4,6,7
Senegal,33,7,8,72,27,1.5,0.5625,68.75,0,5,5,13
Netherlands,30,11,7,111,44,2.3125,0.9167,62.5,3,4,15,15
England,34,8,9,122,34,2.3922,0.6667,66.6667,0,7,1,12
Iran,27,6,5,85,20,2.2368,0.5263,71.0526,0,10,2,15
United States,37,11,15,119,55,1.8889,0.873,58.7302,0,9,1,13
Wales,21,12,16,54,51,1.102,1.0408,42.8571,0,4,0,9
Argentina,33,12,4,93,27,1.898,0.551,67.3469,4,8,35,35
Saudi Arabia,22,13,12,63,36,1.3404,0.766,46.8085,0,9,2,11
Mexico,40,11,15,110,62,1.6667,0.9394,60.6061,0,11,0,11
Poland,21,12,14,82,53,1.7447,1.1277,44.6809,1,4,1,6
France,31,11,7,101,40,2.0612,0.8163,63.2653,0,7,0,12
Australia,22,4,6,67,18,2.0938,0.5625,68.75,4,11,4,11
Denmark,31,9,10,108,39,2.16,0.78,62.0,1,6,1,15
Tunisia,30,8,14,74,38,1.4231,0.7308,57.6923,0,4,0,10
Spain,31,12,7,112,37,2.24,0.74,62.0,1,7,1,15
Costa Rica,19,11,23,53,58,1.0,1.0943,35.8491,1,4,4,7
Germany,25,15,8,119,57,2.4792,1.1875,52.0833,0,8,1,13
Japan,35,7,11,106,39,2.0,0.7358,66.0377,0,7,2,11
Belgium,35,7,7,128,43,2.6122,0.8776,71.4286,0,12,0,13
Canada,30,4,10,122,31,2.7727,0.7045,68.1818,0,8,0,11
Morocco,28,9,8,77,27,1.7111,0.6,62.2222,0,12,4,18
Croatia,23,11,14,81,64,1.6875,1.3333,47.9167,4,4,5,9
Brazil,38,9,3,111,19,2.22,0.38,76.0,7,10,15,17
Serbia,24,14,8,83,50,1.8043,1.087,52.1739,2,5,5,8
Switzerland,23,10,16,90,55,1.8367,1.1224,46.9388,3,6,3,8
Cameroon,18,12,9,44,27,1.1282,0.6923,46.1538,0,6,0,9
Portugal,29,12,7,104,34,2.1667,0.7083,60.4167,0,5,0,13
Ghana,15,11,10,40,32,1.1111,0.8889,41.6667,1,3,1,7
Uruguay,20,10,14,63,42,1.4318,0.9545,45.4545,1,5,1,7
South Korea,31,12,6,88,35,1.7959,0.7143,63.2653,1,7,5,14
