"Group","Team","FIFA_Ranking","Avg_Age","Avg_Caps","Avg_Goals","Avg_GoalsPerCaps","Win_Rate_Percentage","Goals_Scored_per_Match","Goals_Conceded_per_Match","Current_Win_Streak","Longest_Win_Streak","Current_Unbeaten_Streak","Longest_Unbeaten_Streak"
"A","Qatar","50","26.9615","56.6154","7.3846","0.1304","55.5556","1.6984","1.0952","0","7","1","11"
"A","Ecuador","44","25.6154","24.1538","2.8462","0.1178","36.7347","1.3061","1.1429","0","4","6","7"
"A","Senegal","18","26.2692","24.4231","2.8846","0.1181","68.75","1.5","0.5625","0","5","5","13"
"A","Netherlands","8","26.6154","26.2692","4.0385","0.1537","62.5","2.3125","0.9167","3","4","15","15"
"B","England","5","26.4231","31.5385","4.5385","0.1439","66.6667","2.3922","0.6667","0","7","1","12"
"B","Iran","20","28.92","39.24","5.92","0.1509","71.0526","2.2368","0.5263","0","10","2","15"
"B","United States","16","25.1538","26.3462","3.1538","0.1197","58.7302","1.8889","0.873","0","9","1","13"
"B","Wales","19","26.3846","38.0385","3.5385","0.093","42.8571","1.102","1.0408","0","4","0","9"
"C","Argentina","3","27.9231","34.1154","6.3077","0.1849","67.3469","1.898","0.551","4","8","35","35"
"C","Saudi Arabia","51","27.3462","28.1923","2.4615","0.0873","46.8085","1.3404","0.766","0","9","2","11"
"C","Mexico","13","28.5","49.4231","5.0769","0.1027","60.6061","1.6667","0.9394","0","11","0","11"
"C","Poland","26","27.0385","33.8462","6","0.1773","44.6809","1.7447","1.1277","1","4","1","6"
"D","France","4","26.5385","34.3077","6.8846","0.2007","63.2653","2.0612","0.8163","0","7","0","12"
"D","Australia","38","27.4615","21.1538","2.8462","0.1345","68.75","2.0938","0.5625","4","11","4","11"
"D","Denmark","10","27.1538","38.6154","5.3077","0.1375","62","2.16","0.78","1","6","1","15"
"D","Tunisia","30","27.9231","37.1154","3.9615","0.1067","57.6923","1.4231","0.7308","0","4","0","10"
"E","Spain","7","25.6538","28.1154","3.0385","0.1081","62","2.24","0.74","1","7","1","15"
"E","Costa Rica","31","27.1538","43.1923","4.7308","0.1095","35.8491","1","1.0943","1","4","4","7"
"E","Germany","11","26.7692","34.5769","5.8077","0.168","52.0833","2.4792","1.1875","0","8","1","13"
"E","Japan","24","27.7692","34.5","3.2692","0.0948","66.0377","2","0.7358","0","7","2","11"
"F","Belgium","2","27.8077","51.5385","9.4615","0.1836","71.4286","2.6122","0.8776","0","12","0","13"
"F","Canada","41","26.9231","30.9615","4.7308","0.1528","68.1818","2.7727","0.7045","0","8","0","11"
"F","Morocco","22","26.3077","20","2.5385","0.1269","62.2222","1.7111","0.6","0","12","4","18"
"F","Croatia","12","27.3846","37.6538","4.8077","0.1277","47.9167","1.6875","1.3333","4","4","5","9"
"G","Brazil","1","27.8846","36.5385","6.1923","0.1695","76","2.22","0.38","7","10","15","17"
"G","Serbia","21","26.8846","29.1538","4.3077","0.1478","52.1739","1.8043","1.087","2","5","5","8"
"G","Switzerland","15","27","38.1923","4.5769","0.1198","46.9388","1.8367","1.1224","3","6","3","8"
"G","Cameroon","43","26.3077","23.5385","3.1538","0.134","46.1538","1.1282","0.6923","0","6","0","9"
"H","Portugal","9","26.8462","40.4231","7.3846","0.1827","60.4167","2.1667","0.7083","0","5","0","13"
"H","Ghana","61","24.7308","16.8462","2.4615","0.1461","41.6667","1.1111","0.8889","1","3","1","7"
"H","Uruguay","14","27.8077","45.5","6.6538","0.1462","45.4545","1.4318","0.9545","1","5","1","7"
"H","South Korea","28","27.7692","35.4615","4.3462","0.1226","63.2653","1.7959","0.7143","1","7","5","14"
